Epoch 0    Validation MSELoss: 2.967526e-03    Training MSELoss: 5.193643e-03
Epoch 1    Validation MSELoss: 1.368781e-03    Training MSELoss: 1.528148e-03
Epoch 2    Validation MSELoss: 8.245537e-04    Training MSELoss: 8.605035e-04
Epoch 3    Validation MSELoss: 6.262980e-04    Training MSELoss: 6.427579e-04
Epoch 4    Validation MSELoss: 5.380764e-04    Training MSELoss: 5.284517e-04
Epoch 5    Validation MSELoss: 3.943895e-04    Training MSELoss: 4.219280e-04
Epoch 6    Validation MSELoss: 4.079303e-04    Training MSELoss: 3.795530e-04
Epoch 7    Validation MSELoss: 3.927951e-04    Training MSELoss: 3.404173e-04
Epoch 8    Validation MSELoss: 3.144088e-04    Training MSELoss: 3.250577e-04
Epoch 9    Validation MSELoss: 3.417673e-04    Training MSELoss: 3.033956e-04
Epoch 10    Validation MSELoss: 2.988071e-04    Training MSELoss: 2.840442e-04
Epoch 11    Validation MSELoss: 2.769142e-04    Training MSELoss: 2.810463e-04
Epoch 12    Validation MSELoss: 2.769470e-04    Training MSELoss: 2.618133e-04
Epoch 13    Validation MSELoss: 2.265001e-04    Training MSELoss: 2.661130e-04
Epoch 14    Validation MSELoss: 2.338792e-04    Training MSELoss: 2.508493e-04
Epoch 15    Validation MSELoss: 2.240720e-04    Training MSELoss: 2.468443e-04
Epoch 16    Validation MSELoss: 2.103446e-04    Training MSELoss: 2.458483e-04
Epoch 17    Validation MSELoss: 2.286831e-04    Training MSELoss: 2.184192e-04
Epoch 18    Validation MSELoss: 2.406675e-04    Training MSELoss: 2.171730e-04
Epoch 19    Validation MSELoss: 1.433814e-04    Training MSELoss: 1.970811e-04
Epoch 20    Validation MSELoss: 1.681031e-04    Training MSELoss: 1.938994e-04
Epoch 21    Validation MSELoss: 1.750813e-04    Training MSELoss: 1.957752e-04
Epoch 22    Validation MSELoss: 2.059328e-04    Training MSELoss: 1.882352e-04
Epoch 23    Validation MSELoss: 1.568564e-04    Training MSELoss: 1.848048e-04
Epoch 24    Validation MSELoss: 1.977829e-04    Training MSELoss: 1.811257e-04
Epoch 25    Validation MSELoss: 1.879492e-04    Training MSELoss: 1.862894e-04
Epoch 26    Validation MSELoss: 1.707967e-04    Training MSELoss: 1.737199e-04
Epoch 27    Validation MSELoss: 2.159222e-04    Training MSELoss: 1.672934e-04
Epoch 28    Validation MSELoss: 1.993735e-04    Training MSELoss: 1.701094e-04
Epoch 29    Validation MSELoss: 1.413367e-04    Training MSELoss: 1.676913e-04
Epoch 30    Validation MSELoss: 1.684293e-04    Training MSELoss: 1.634224e-04
Epoch 31    Validation MSELoss: 1.503953e-04    Training MSELoss: 1.558559e-04
Epoch 32    Validation MSELoss: 1.782929e-04    Training MSELoss: 1.614423e-04
Epoch 33    Validation MSELoss: 1.246779e-04    Training MSELoss: 1.519481e-04
Epoch 34    Validation MSELoss: 1.542214e-04    Training MSELoss: 1.485305e-04
Epoch 35    Validation MSELoss: 1.343664e-04    Training MSELoss: 1.508203e-04
Epoch 36    Validation MSELoss: 1.380455e-04    Training MSELoss: 1.469990e-04
Epoch 37    Validation MSELoss: 1.353875e-04    Training MSELoss: 1.433586e-04
Epoch 38    Validation MSELoss: 1.363144e-04    Training MSELoss: 1.450039e-04
Epoch 39    Validation MSELoss: 1.481783e-04    Training MSELoss: 1.430076e-04
Epoch 40    Validation MSELoss: 1.559018e-04    Training MSELoss: 1.448299e-04
Epoch 41    Validation MSELoss: 1.725671e-04    Training MSELoss: 1.467156e-04
Epoch 42    Validation MSELoss: 1.157871e-04    Training MSELoss: 1.379708e-04
Epoch 43    Validation MSELoss: 1.205901e-04    Training MSELoss: 1.391969e-04
Epoch 44    Validation MSELoss: 1.144679e-04    Training MSELoss: 1.358540e-04
Epoch 45    Validation MSELoss: 1.227084e-04    Training MSELoss: 1.395122e-04
Epoch 46    Validation MSELoss: 1.151531e-04    Training MSELoss: 1.376695e-04
Epoch 47    Validation MSELoss: 1.331319e-04    Training MSELoss: 1.313004e-04
Epoch 48    Validation MSELoss: 1.303695e-04    Training MSELoss: 1.229664e-04
Epoch 49    Validation MSELoss: 1.187424e-04    Training MSELoss: 1.276572e-04
Epoch 50    Validation MSELoss: 1.004959e-04    Training MSELoss: 1.300388e-04
Epoch 51    Validation MSELoss: 9.890278e-05    Training MSELoss: 1.281687e-04
Epoch 52    Validation MSELoss: 1.132290e-04    Training MSELoss: 1.273285e-04
Epoch 53    Validation MSELoss: 1.442232e-04    Training MSELoss: 1.176030e-04
Epoch 54    Validation MSELoss: 3.214245e-04    Training MSELoss: 1.203096e-04
Epoch 55    Validation MSELoss: 1.341586e-04    Training MSELoss: 1.252484e-04
Epoch 56    Validation MSELoss: 1.094692e-04    Training MSELoss: 1.206463e-04
Epoch 57    Validation MSELoss: 1.381171e-04    Training MSELoss: 1.204820e-04
Epoch 58    Validation MSELoss: 1.230733e-04    Training MSELoss: 1.242382e-04
Epoch 59    Validation MSELoss: 1.133839e-04    Training MSELoss: 1.177777e-04
Epoch 60    Validation MSELoss: 1.161499e-04    Training MSELoss: 1.158756e-04
Epoch 61    Validation MSELoss: 9.777446e-05    Training MSELoss: 1.182986e-04
Epoch 62    Validation MSELoss: 1.110223e-04    Training MSELoss: 1.252568e-04
Epoch 63    Validation MSELoss: 1.649037e-04    Training MSELoss: 1.154006e-04
Epoch 64    Validation MSELoss: 1.103157e-04    Training MSELoss: 1.174535e-04
Epoch 65    Validation MSELoss: 1.029811e-04    Training MSELoss: 1.158667e-04
Epoch 66    Validation MSELoss: 1.189172e-04    Training MSELoss: 1.133370e-04
Epoch 67    Validation MSELoss: 1.115763e-04    Training MSELoss: 1.085526e-04
Epoch 68    Validation MSELoss: 1.051226e-04    Training MSELoss: 1.140023e-04
Epoch 69    Validation MSELoss: 1.009729e-04    Training MSELoss: 1.093234e-04
Epoch 70    Validation MSELoss: 9.319662e-05    Training MSELoss: 1.097933e-04
Epoch 71    Validation MSELoss: 4.598371e-04    Training MSELoss: 1.093910e-04
Epoch 72    Validation MSELoss: 8.625875e-05    Training MSELoss: 1.192296e-04
