Epoch 0    Validation MSELoss: 1.114577e-02    Training MSELoss: 1.553176e-02
Epoch 1    Validation MSELoss: 5.329328e-03    Training MSELoss: 8.672930e-03
Epoch 2    Validation MSELoss: 6.256009e-03    Training MSELoss: 8.071411e-03
Epoch 3    Validation MSELoss: 3.643789e-03    Training MSELoss: 6.737297e-03
Epoch 4    Validation MSELoss: 4.062309e-03    Training MSELoss: 5.802143e-03
Epoch 5    Validation MSELoss: 2.246677e-03    Training MSELoss: 5.411761e-03
Epoch 6    Validation MSELoss: 3.668456e-03    Training MSELoss: 5.082775e-03
Epoch 7    Validation MSELoss: 1.946273e-03    Training MSELoss: 5.867489e-03
Epoch 8    Validation MSELoss: 1.727487e-03    Training MSELoss: 5.012419e-03
Epoch 9    Validation MSELoss: 2.169973e-03    Training MSELoss: 6.614064e-03
Epoch 10    Validation MSELoss: 2.064833e-03    Training MSELoss: 4.238675e-03
Epoch 11    Validation MSELoss: 1.395402e-03    Training MSELoss: 4.046788e-03
Epoch 12    Validation MSELoss: 2.002999e-03    Training MSELoss: 3.675235e-03
Epoch 13    Validation MSELoss: 1.859447e-03    Training MSELoss: 3.339389e-03
Epoch 14    Validation MSELoss: 9.715119e-04    Training MSELoss: 3.076850e-03
Epoch 15    Validation MSELoss: 1.054348e-03    Training MSELoss: 2.565264e-03
Epoch 16    Validation MSELoss: 1.315089e-03    Training MSELoss: 2.733857e-03
Epoch 17    Validation MSELoss: 3.485625e-04    Training MSELoss: 2.445595e-03
Epoch 18    Validation MSELoss: 4.532521e-04    Training MSELoss: 1.950297e-02
Epoch 19    Validation MSELoss: 2.287321e-04    Training MSELoss: 2.396689e-03
