Epoch 0    Validation MSELoss: 1.295359e-01    Training MSELoss: 2.130580e-01
Epoch 1    Validation MSELoss: 2.436673e-02    Training MSELoss: 6.389342e-02
Epoch 2    Validation MSELoss: 7.080321e-03    Training MSELoss: 1.419974e-02
Epoch 3    Validation MSELoss: 7.874573e-03    Training MSELoss: 3.384031e-01
Epoch 4    Validation MSELoss: 4.692488e-03    Training MSELoss: 6.905313e-03
Epoch 5    Validation MSELoss: 3.679497e-03    Training MSELoss: 1.575224e-02
Epoch 6    Validation MSELoss: 2.386880e-03    Training MSELoss: 1.576093e-02
Epoch 7    Validation MSELoss: 2.132570e-03    Training MSELoss: 5.259114e-03
Epoch 8    Validation MSELoss: 2.282071e-03    Training MSELoss: 4.835700e-03
Epoch 9    Validation MSELoss: 1.567288e-03    Training MSELoss: 4.693288e-03
Epoch 10    Validation MSELoss: 1.436305e-03    Training MSELoss: 5.214701e-03
Epoch 11    Validation MSELoss: 1.139076e-03    Training MSELoss: 3.800012e-03
Epoch 12    Validation MSELoss: 1.740918e-03    Training MSELoss: 3.765461e-03
Epoch 13    Validation MSELoss: 1.506745e-03    Training MSELoss: 5.067052e-03
Epoch 14    Validation MSELoss: 8.263483e-04    Training MSELoss: 2.338782e-02
Epoch 15    Validation MSELoss: 7.319683e-04    Training MSELoss: 1.680776e-02
Epoch 16    Validation MSELoss: 6.779185e-04    Training MSELoss: 3.110606e-03
Epoch 17    Validation MSELoss: 5.640194e-04    Training MSELoss: 2.986040e-03
Epoch 18    Validation MSELoss: 6.016808e-04    Training MSELoss: 2.835806e-03
Epoch 19    Validation MSELoss: 6.048451e-04    Training MSELoss: 2.687959e-03
