Epoch 0    Validation MSELoss: 5.472231e-03    Training MSELoss: 9.407903e-03
Epoch 1    Validation MSELoss: 4.051927e-03    Training MSELoss: 2.162565e-02
Epoch 2    Validation MSELoss: 7.538395e-03    Training MSELoss: 6.319372e-02
Epoch 3    Validation MSELoss: 1.151712e-01    Training MSELoss: 7.742844e-03
Epoch 4    Validation MSELoss: 8.767280e-03    Training MSELoss: 8.235884e-03
Epoch 5    Validation MSELoss: 4.434383e-03    Training MSELoss: 4.299148e-02
Epoch 6    Validation MSELoss: 6.190704e-03    Training MSELoss: 6.013115e-03
Epoch 7    Validation MSELoss: 5.102213e-03    Training MSELoss: 8.594120e-02
Epoch 8    Validation MSELoss: 6.801740e-03    Training MSELoss: 4.336500e-02
Epoch 9    Validation MSELoss: 4.800520e-03    Training MSELoss: 5.067850e-03
Epoch 10    Validation MSELoss: 1.915060e-03    Training MSELoss: 7.834481e-03
Epoch 11    Validation MSELoss: 3.876000e-03    Training MSELoss: 4.406446e-03
Epoch 12    Validation MSELoss: 2.176570e-03    Training MSELoss: 4.121535e-03
Epoch 13    Validation MSELoss: 4.279258e-02    Training MSELoss: 3.456040e-03
Epoch 14    Validation MSELoss: 3.278808e-03    Training MSELoss: 3.413939e-03
Epoch 15    Validation MSELoss: 9.165625e-04    Training MSELoss: 2.703435e-03
Epoch 16    Validation MSELoss: 4.645544e-04    Training MSELoss: 2.409972e-03
Epoch 17    Validation MSELoss: 2.488522e-04    Training MSELoss: 2.260063e-03
Epoch 18    Validation MSELoss: 1.625773e-04    Training MSELoss: 2.100581e-03
Epoch 19    Validation MSELoss: 5.939002e-04    Training MSELoss: 2.654714e-02
