Epoch 0    Validation MSELoss: 1.004265e-02    Training MSELoss: 1.230971e-02
Epoch 1    Validation MSELoss: 1.914431e-02    Training MSELoss: 1.115070e-02
Epoch 2    Validation MSELoss: 1.237425e-02    Training MSELoss: 1.390827e-02
Epoch 3    Validation MSELoss: 2.131379e-02    Training MSELoss: 1.332616e-02
Epoch 4    Validation MSELoss: 1.305244e-02    Training MSELoss: 1.088969e-02
Epoch 5    Validation MSELoss: 2.442899e-01    Training MSELoss: 1.255211e-01
Epoch 6    Validation MSELoss: 1.458972e-01    Training MSELoss: 9.221570e-03
Epoch 7    Validation MSELoss: 2.396892e-02    Training MSELoss: 7.921692e-02
Epoch 8    Validation MSELoss: 4.527859e-02    Training MSELoss: 8.445945e-03
Epoch 9    Validation MSELoss: 1.187734e-01    Training MSELoss: 1.394311e-02
Epoch 10    Validation MSELoss: 9.652329e-02    Training MSELoss: 6.549586e-03
Epoch 11    Validation MSELoss: 9.883384e-02    Training MSELoss: 4.964596e-03
Epoch 12    Validation MSELoss: 4.720793e-02    Training MSELoss: 8.133071e-03
Epoch 13    Validation MSELoss: 4.624468e-02    Training MSELoss: 4.514442e-03
Epoch 14    Validation MSELoss: 1.637008e-01    Training MSELoss: 4.312721e-03
Epoch 15    Validation MSELoss: 2.210880e-01    Training MSELoss: 3.266345e-03
Epoch 16    Validation MSELoss: 8.763866e-03    Training MSELoss: 4.677495e-02
Epoch 17    Validation MSELoss: 5.529009e-03    Training MSELoss: 2.355214e-03
Epoch 18    Validation MSELoss: 3.791447e-03    Training MSELoss: 4.592895e-02
Epoch 19    Validation MSELoss: 1.983827e-04    Training MSELoss: 1.080376e-02
