Epoch 0    Validation MSELoss: 6.853057e-03    Training MSELoss: 7.505730e-03
Epoch 1    Validation MSELoss: 7.791455e-03    Training MSELoss: 7.258387e-02
Epoch 2    Validation MSELoss: 1.118704e-02    Training MSELoss: 9.477534e-03
Epoch 3    Validation MSELoss: 8.656455e-03    Training MSELoss: 8.200447e-03
Epoch 4    Validation MSELoss: 5.761991e-03    Training MSELoss: 7.045800e-03
Epoch 5    Validation MSELoss: 9.952788e-03    Training MSELoss: 1.004195e-02
Epoch 6    Validation MSELoss: 2.657988e-03    Training MSELoss: 6.635027e-03
Epoch 7    Validation MSELoss: 1.237932e-02    Training MSELoss: 4.778541e-02
Epoch 8    Validation MSELoss: 5.060523e-03    Training MSELoss: 7.030249e-03
Epoch 9    Validation MSELoss: 1.971469e-03    Training MSELoss: 5.480709e-03
Epoch 10    Validation MSELoss: 2.447793e-03    Training MSELoss: 5.576475e-02
Epoch 11    Validation MSELoss: 3.439912e-03    Training MSELoss: 4.769980e-03
Epoch 12    Validation MSELoss: 2.193313e-03    Training MSELoss: 4.444454e-03
Epoch 13    Validation MSELoss: 3.623233e-03    Training MSELoss: 4.382770e-03
Epoch 14    Validation MSELoss: 1.078178e-03    Training MSELoss: 3.953498e-03
Epoch 15    Validation MSELoss: 7.932854e-04    Training MSELoss: 3.164539e-03
Epoch 16    Validation MSELoss: 7.800871e-04    Training MSELoss: 2.838881e-03
Epoch 17    Validation MSELoss: 4.604619e-04    Training MSELoss: 2.552942e-03
Epoch 18    Validation MSELoss: 2.678722e-04    Training MSELoss: 2.340623e-03
Epoch 19    Validation MSELoss: 2.590269e-04    Training MSELoss: 2.531726e-03
