Epoch 0    Validation MSELoss: 1.424293e-02    Training MSELoss: 1.837848e-02
Epoch 1    Validation MSELoss: 5.376619e-03    Training MSELoss: 9.263359e-03
Epoch 2    Validation MSELoss: 5.393549e-03    Training MSELoss: 8.479035e-03
Epoch 3    Validation MSELoss: 6.664389e-03    Training MSELoss: 7.119817e-03
Epoch 4    Validation MSELoss: 2.373819e-03    Training MSELoss: 9.750422e-03
Epoch 5    Validation MSELoss: 6.522728e-03    Training MSELoss: 5.709713e-03
Epoch 6    Validation MSELoss: 2.516288e-03    Training MSELoss: 6.117354e-03
Epoch 7    Validation MSELoss: 4.358322e-03    Training MSELoss: 5.276413e-03
Epoch 8    Validation MSELoss: 1.662610e-03    Training MSELoss: 4.761827e-03
Epoch 9    Validation MSELoss: 2.676852e-03    Training MSELoss: 5.536396e-03
Epoch 10    Validation MSELoss: 3.501703e-03    Training MSELoss: 1.434001e-02
Epoch 11    Validation MSELoss: 1.153018e-03    Training MSELoss: 3.851088e-03
Epoch 12    Validation MSELoss: 1.851548e-03    Training MSELoss: 3.546033e-03
Epoch 13    Validation MSELoss: 1.399055e-03    Training MSELoss: 1.171766e-01
Epoch 14    Validation MSELoss: 9.309780e-04    Training MSELoss: 2.681118e-02
Epoch 15    Validation MSELoss: 1.336328e-03    Training MSELoss: 2.955327e-03
Epoch 16    Validation MSELoss: 3.784294e-04    Training MSELoss: 5.492948e-03
Epoch 17    Validation MSELoss: 3.634636e-04    Training MSELoss: 2.640545e-03
Epoch 18    Validation MSELoss: 1.981977e-04    Training MSELoss: 2.175375e-03
Epoch 19    Validation MSELoss: 2.119184e-04    Training MSELoss: 2.354819e-03
