Epoch 0    Validation MSELoss: 9.516327e-01    Training MSELoss: 9.561877e-01
Epoch 1    Validation MSELoss: 7.155536e-01    Training MSELoss: 7.885852e-01
Epoch 2    Validation MSELoss: 3.479026e-01    Training MSELoss: 3.657303e-01
Epoch 3    Validation MSELoss: 1.637294e-01    Training MSELoss: 1.685745e-01
Epoch 4    Validation MSELoss: 3.886318e-02    Training MSELoss: 4.215985e-02
Epoch 5    Validation MSELoss: 6.947524e-03    Training MSELoss: 7.036420e-03
Epoch 6    Validation MSELoss: 2.425344e-03    Training MSELoss: 2.831868e-03
Epoch 7    Validation MSELoss: 1.227390e-03    Training MSELoss: 2.602784e-03
Epoch 8    Validation MSELoss: 8.096031e-04    Training MSELoss: 2.077551e-03
Epoch 9    Validation MSELoss: 5.898505e-04    Training MSELoss: 6.503540e-04
Epoch 10    Validation MSELoss: 4.648910e-04    Training MSELoss: 5.310198e-04
Epoch 11    Validation MSELoss: 3.977540e-04    Training MSELoss: 4.286468e-04
Epoch 12    Validation MSELoss: 3.472267e-04    Training MSELoss: 4.046981e-04
Epoch 13    Validation MSELoss: 3.114709e-04    Training MSELoss: 2.943052e-04
Epoch 14    Validation MSELoss: 2.883803e-04    Training MSELoss: 1.155359e-03
Epoch 15    Validation MSELoss: 2.745301e-04    Training MSELoss: 2.693820e-04
Epoch 16    Validation MSELoss: 2.656965e-04    Training MSELoss: 3.676894e-04
Epoch 17    Validation MSELoss: 2.587390e-04    Training MSELoss: 1.045531e-01
Epoch 18    Validation MSELoss: 2.572170e-04    Training MSELoss: 2.609206e-04
Epoch 19    Validation MSELoss: 2.566818e-04    Training MSELoss: 3.382414e-03
