Epoch 0    Validation MSELoss: 9.640713e-01    Training MSELoss: 9.641206e-01
Epoch 1    Validation MSELoss: 6.668077e-01    Training MSELoss: 6.824495e-01
Epoch 2    Validation MSELoss: 2.785848e-01    Training MSELoss: 2.912288e-01
Epoch 3    Validation MSELoss: 1.282143e-01    Training MSELoss: 1.323556e-01
Epoch 4    Validation MSELoss: 2.839622e-02    Training MSELoss: 2.388458e-01
Epoch 5    Validation MSELoss: 6.436028e-03    Training MSELoss: 8.021143e-03
Epoch 6    Validation MSELoss: 2.537604e-03    Training MSELoss: 4.224609e-03
Epoch 7    Validation MSELoss: 1.412791e-03    Training MSELoss: 1.733852e-03
Epoch 8    Validation MSELoss: 9.390611e-04    Training MSELoss: 1.516982e-03
Epoch 9    Validation MSELoss: 7.007776e-04    Training MSELoss: 6.033024e-04
Epoch 10    Validation MSELoss: 5.348482e-04    Training MSELoss: 3.633058e-02
Epoch 11    Validation MSELoss: 4.494709e-04    Training MSELoss: 4.391678e-04
Epoch 12    Validation MSELoss: 3.832673e-04    Training MSELoss: 7.965106e-04
Epoch 13    Validation MSELoss: 3.399899e-04    Training MSELoss: 1.569554e-02
Epoch 14    Validation MSELoss: 3.164211e-04    Training MSELoss: 3.107906e-04
Epoch 15    Validation MSELoss: 2.956093e-04    Training MSELoss: 1.161272e-02
Epoch 16    Validation MSELoss: 2.873534e-04    Training MSELoss: 4.308863e-04
Epoch 17    Validation MSELoss: 2.817762e-04    Training MSELoss: 3.701493e-04
Epoch 18    Validation MSELoss: 2.797536e-04    Training MSELoss: 3.192270e-04
Epoch 19    Validation MSELoss: 2.792446e-04    Training MSELoss: 3.048309e-04
