Epoch 0    Validation MSELoss: 7.911521e-04    Training MSELoss: 9.768636e-04
Epoch 1    Validation MSELoss: 1.241501e-03    Training MSELoss: 2.658086e-02
Epoch 2    Validation MSELoss: 3.070092e-03    Training MSELoss: 1.449345e-01
Epoch 3    Validation MSELoss: 1.624777e-02    Training MSELoss: 1.294234e-01
Epoch 4    Validation MSELoss: 1.340398e-02    Training MSELoss: 2.769315e-02
Epoch 5    Validation MSELoss: 6.760858e-03    Training MSELoss: 2.001680e-02
Epoch 6    Validation MSELoss: 4.239370e-03    Training MSELoss: 1.865759e-02
Epoch 7    Validation MSELoss: 4.804878e-03    Training MSELoss: 2.539721e-01
Epoch 8    Validation MSELoss: 3.271438e-03    Training MSELoss: 1.072401e-02
Epoch 9    Validation MSELoss: 3.645447e-03    Training MSELoss: 1.890204e-02
Epoch 10    Validation MSELoss: 7.025586e-03    Training MSELoss: 6.629056e-03
Epoch 11    Validation MSELoss: 1.018481e-03    Training MSELoss: 7.940769e-02
Epoch 12    Validation MSELoss: 2.089712e-03    Training MSELoss: 4.459680e-03
Epoch 13    Validation MSELoss: 5.495826e-04    Training MSELoss: 6.920781e-02
Epoch 14    Validation MSELoss: 3.534817e-04    Training MSELoss: 1.420790e-02
Epoch 15    Validation MSELoss: 6.271533e-04    Training MSELoss: 3.438672e-04
Epoch 16    Validation MSELoss: 5.324125e-04    Training MSELoss: 1.825891e-01
Epoch 17    Validation MSELoss: 9.316415e-05    Training MSELoss: 4.438377e-03
Epoch 18    Validation MSELoss: 1.289466e-04    Training MSELoss: 4.951845e-04
Epoch 19    Validation MSELoss: 3.512898e-05    Training MSELoss: 3.463128e-02
