Epoch 0    Validation MSELoss: 9.037930e-01    Training MSELoss: 9.124961e-01
Epoch 1    Validation MSELoss: 6.541573e-01    Training MSELoss: 6.777648e-01
Epoch 2    Validation MSELoss: 3.023317e-01    Training MSELoss: 3.083383e-01
Epoch 3    Validation MSELoss: 3.316675e-02    Training MSELoss: 3.972400e-02
Epoch 4    Validation MSELoss: 6.310993e-03    Training MSELoss: 6.778033e-03
Epoch 5    Validation MSELoss: 4.017254e-03    Training MSELoss: 4.131279e-03
Epoch 6    Validation MSELoss: 3.243248e-03    Training MSELoss: 4.955665e-03
Epoch 7    Validation MSELoss: 2.985033e-03    Training MSELoss: 2.989142e-03
Epoch 8    Validation MSELoss: 2.601299e-03    Training MSELoss: 2.646022e-03
Epoch 9    Validation MSELoss: 2.467952e-03    Training MSELoss: 4.245748e-03
Epoch 10    Validation MSELoss: 2.260286e-03    Training MSELoss: 2.493586e-03
Epoch 11    Validation MSELoss: 2.257228e-03    Training MSELoss: 2.406503e-03
Epoch 12    Validation MSELoss: 2.044668e-03    Training MSELoss: 2.026623e-03
Epoch 13    Validation MSELoss: 1.838650e-03    Training MSELoss: 2.444076e-03
Epoch 14    Validation MSELoss: 1.715676e-03    Training MSELoss: 4.981292e-03
Epoch 15    Validation MSELoss: 1.652972e-03    Training MSELoss: 2.224232e-03
Epoch 16    Validation MSELoss: 1.597813e-03    Training MSELoss: 1.569838e-03
Epoch 17    Validation MSELoss: 1.530247e-03    Training MSELoss: 1.614090e-03
Epoch 18    Validation MSELoss: 1.500741e-03    Training MSELoss: 1.770969e-03
Epoch 19    Validation MSELoss: 1.496176e-03    Training MSELoss: 1.515926e-03
